Name,Integrated Graphics,Cores,Clock Speed,Turbo Boost,Price
Intel Core i7-6700T,Intel HD Graphics 530,4,2.8 GHz,3.6 GHz,315.43
Intel Core i7-6700K,Intel HD Graphics 530,4,4 GHz,4.2 GHz,311.34
Intel Core i5-9600T,Intel UHD Graphics 630,6,2.3 GHz,3.9 GHz,305.34
Intel Core i5-9600K,Intel UHD Graphics 630,6,3.7 GHz,4.6 GHz,301.24
Intel Core i5-9600K,Intel UHD Graphics 630,6,3.7 GHz,4.6 GHz,298.05
Intel Core i5-9600,Intel UHD Graphics 630,6,3.1 GHz,4.6 GHz,289.34
Intel Core i5-9400,Intel UHD Graphics 630,6,2.9 GHz,4.1 GHz,259.00
Intel Core i5-9500T,Intel UHD Graphics 630,6,2.2 GHz,3.7 GHz,287.34
Intel Xeon E-2274G,Intel HD Graphics P630,4,4 GHz,4.9 GHz,497.70
Intel Xeon E-2176G,Intel HD Graphics P630,6,3.7 GHz,4.7 GHz,886.99
Intel Core i5-9500F,None,6,3 GHz,4.4 GHz,289.35
Intel Core i5-9500F,None,6,3 GHz,4.4 GHz,279.34
Intel Core i5-9500,Intel UHD Graphics 630,6,3 GHz,4.4 GHz,256.34
Intel Xeon E-2174G,Intel HD Graphics P630,4,3.8 GHz,4.7 GHz,350.39
Intel Xeon E3-1220 V6,None,4,3 GHz,3.5 GHz,405.05
Intel Xeon E3-1220 V6,None,4,3 GHz,3.5 GHz,242.78
Intel Xeon E-2136,None,6,3.3 GHz,4.5 GHz,411.43
Intel Xeon E3-1240 V6,None,4,3.7 GHz,4.1 GHz,886.99
Name,Integrated Graphics,Core Count,Performance Core Clock,Performance Boost Clock,Price
Intel Core i3-7350K,Intel HD Graphics 630,2,4.2 GHz,,478.12
Intel Xeon E3-1275 V6,Intel HD Graphics P630,4,3.8 GHz,4.2 GHz,473.00
Intel Xeon E3-1230 V6,None,4,3.5 GHz,3.9 GHz,579.99
Intel Xeon E3-1270 V6,None,4,3.8 GHz,4.2 GHz,515.00
